address_1,address_2,city,state,postal_code,phone_number,restaurant_open_date,facility_type,permitid,x,y,geocode_status,geo_shape,geo_point_2d,BIZ_ID,biz_name,NAME_SENTIMENT,HEALTH_SCORE,NAME_SENTIMENT_CONFIDENCE
11730 RETAIL DR,NA,WAKE FOREST,NC,27587-7349,(919) 562-9004,2002-03-15,Restaurant,3547,-78.5427515,35.96706288,M,"{""coordinates"": [-78.54275409290551, 35.96707000611286], ""type"": ""Point""}","35.96707000611286, -78.54275409290551",04092013542,CHICK-FIL-A,positive,98,0.2736247
1051 E BROAD ST,NA,FUQUAY-VARINA,NC,27526-1799,(919) 567-2350,2002-03-19,Food Stand,3559,-78.78150211,35.59449788,M,"{""coordinates"": [-78.78150475105735, 35.594504916437934], ""type"": ""Point""}","35.594504916437934, -78.78150475105735",04092021112,WALMART DELI,very positive,97,0.3633032
6404 GLENWOOD AVE,NA,RALEIGH,NC,27612-2620,(919) 787-9805,2002-05-10,Restaurant,3620,-78.70522396,35.85868508,M,"{""coordinates"": [-78.70522659220502, 35.858692173021915], ""type"": ""Point""}","35.858692173021915, -78.70522659220502",04092013574,TACO BELL #1872,positive,96,0.27189186
10235 CHAPEL HILL RD,#300,MORRISVILLE,NC,27560-6610,(919) 466-8100,2002-06-13,Restaurant,3672,-78.82787824,35.83012817,M,"{""coordinates"": [-78.82788091283449, 35.830135257129164], ""type"": ""Point""}","35.830135257129164, -78.82788091283449",04092013600,NEOMONDE BAKERY & DELI,very positive,97,0.3958332
1201 NEW BERN AVE,NA,RALEIGH,NC,27610-2529,(919) 821-5410,2002-06-13,Food Stand,3674,-78.62187007,35.78018475,M,"{""coordinates"": [-78.62187267371527, 35.78019182698981], ""type"": ""Point""}","35.78019182698981, -78.62187267371527",04092021125,COOK OUT #19,very positive,90,0.32078934
1240 FARMERS MARKET DR,NA,RALEIGH,NC,27603,(919) 755-1550 ext. 9,2002-07-09,Restaurant,3702,-78.66331081,35.76445518,M,"{""coordinates"": [-78.66331342436077, 35.764462257372905], ""type"": ""Point""}","35.764462257372905, -78.66331342436077",04092013615,STATE FARMERS MARKET RESTAURANT,very positive,96,0.37024558
3540 WADE AVE,NA,RALEIGH,NC,27607-4048,(919) 828-5805,2002-07-23,Food Stand,3722,-78.68557988,35.80211883,M,"{""coordinates"": [-78.68558250000501, 35.802125916119024], ""type"": ""Point""}","35.802125916119024, -78.68558250000501",04092021132,WHOLE FOODS MARKET PRODUCE DEPARTMENT,positive,98.5,0.3549849
900 HOLLY SPRINGS RD,NA,HOLLY SPRINGS,NC,27540-7370,(919) 577-1300 ext. 23118,2002-07-17,Public School Lunchrooms,3726,-78.81529276,35.65413254,M,"{""coordinates"": [-78.81529541932991, 35.65413958617774], ""type"": ""Point""}","35.65413958617774, -78.81529541932991",04092110131,HOLLY RIDGE ELEMENTARY CAFETERIA,positive,99.5,0.3748238
9870 LEESVILLE RD,NA,RALEIGH,NC,27613-7536,(919) 847-0453,2002-05-24,Restaurant,3661,-78.72831124,35.90770957,M,"{""coordinates"": [-78.72831388231063, 35.907716673344616], ""type"": ""Point""}","35.907716673344616, -78.72831388231063",04092013595,GOODBERRY'S #12,very positive,98,0.4672668
3001 WIDEWATERS PKY,NA,KNIGHTDALE,NC,27545,(919) 217-9184,2002-08-28,Food Stand,3764,-78.5051576,35.79511649,M,"{""coordinates"": [-78.50516017078571, 35.795123580459034], ""type"": ""Point""}","35.795123580459034, -78.50516017078571",04092021137,LOWES FOODS #189 PRODUCE,very positive,98,0.42746878
1238 W WILLIAMS ST,NA,APEX,NC,27502-3953,(919) 303-9100,2002-09-25,Food Stand,3806,-78.87260949,35.74618301,M,"{""coordinates"": [-78.8726121705206, 35.746190077729615], ""type"": ""Point""}","35.746190077729615, -78.8726121705206",04092021148,PAPA JOHN'S,very positive,96,0.38107324
590 E CHATHAM ST,NA,CARY,NC,27511,(919) 465-0898,2002-10-29,Restaurant,3886,-78.7683206,35.79037417,M,"{""coordinates"": [-78.76832324527842, 35.79038125099687], ""type"": ""Point""}","35.79038125099687, -78.76832324527842",04092013705,UDUPI CAFE,neutral,98,0.27969208
255 SHENSTONE BLV,NA,GARNER,NC,27529,(919) 661-3781,2002-10-25,Meat Market,3921,-78.58054024,35.69110486,M,"{""coordinates"": [-78.58054282990736, 35.69111192234766], ""type"": ""Point""}","35.69111192234766, -78.58054282990736",04092300211,BJ'S MEMBERSHIP CLUB MEAT MKT,positive,94.5,0.30204484
3000 NEW BERN AVE,NA,RALEIGH,NC,27610,(919) 350-8047,2002-12-21,Restaurant,3970,-78.58796431,35.78391192,M,"{""coordinates"": [-78.58796690750151, 35.783918999914796], ""type"": ""Point""}","35.783918999914796, -78.58796690750151",04092013748,CAFE 3000 AT WAKE MED,very positive,96.5,0.37461066
4001 WIDEWATER PKY,SUITE E,KNIGHTDALE,NC,27545,(919) 217-8568,2003-01-02,Restaurant,3972,-78.5051576,35.79511649,M,"{""coordinates"": [-78.50516017078571, 35.795123580459034], ""type"": ""Point""}","35.795123580459034, -78.50516017078571",04092013750,FUJI CHINA,very positive,91,0.29870424
1020 TODD RD,NA,KNIGHTDALE,NC,27545,(919) 266-1240,2003-08-27,Private School Lunchrooms,3996,-78.44699319,35.83204499,M,"{""coordinates"": [-78.44699574252957, 35.832052090017896], ""type"": ""Point""}","35.832052090017896, -78.44699574252957",04092050023,KNIGHTDALE HEADSTART KITCHEN,positive,99.5,0.34873205
182 WAKELON DR,NA,ZEBULON,NC,27597,(919) 269-4070,2003-08-18,Restaurant,4031,-78.31858232,35.83228581,M,"{""coordinates"": [-78.31858483210956, 35.832292910154216], ""type"": ""Point""}","35.832292910154216, -78.31858483210956",04092013879,GOLDEN CHINA - ZEBULON,very positive,93.5,0.60202837
3222 S WILMINGTON ST,NA,RALEIGH,NC,27603,(919) 661-5811,2003-09-09,Food Stand,4044,-78.65069888,35.73659094,M,"{""coordinates"": [-78.65070149083152, 35.73659800550706], ""type"": ""Point""}","35.73659800550706, -78.65070149083152",04092021217,COOK OUT # 24,very positive,97,0.3487577
1121 FALLS RIVER AVE,NA,RALEIGH,NC,27614,(919) 847-1640,2003-09-29,Food Stand,4062,-78.58941115,35.90603231,M,"{""coordinates"": [-78.5894137546288, 35.90603941306413], ""type"": ""Point""}","35.90603941306413, -78.5894137546288",04092021223,FOOD LION #1358 DELI,very positive,99,0.28972763
10050 GLENWOOD AVE,NA,RALEIGH,NC,27617,(919) 596-5790,2003-10-27,Food Stand,4099,-78.77801283,35.91234265,M,"{""coordinates"": [-78.77801549127398, 35.9123497543802], ""type"": ""Point""}","35.9123497543802, -78.77801549127398",04092021233,WALMART SUPERCENTER #5118 DELI,very positive,94.5,0.5150761
1030-125 N ROGERS LN,NA,RALEIGH,NC,27610,(919) 792-0321,2003-12-12,Meat Market,4182,-78.54837151,35.79167791,M,"{""coordinates"": [-78.54837408971075, 35.791684994352835], ""type"": ""Point""}","35.791684994352835, -78.54837408971075",04092300220,FOOD LION #2504 MEAT MARKET,very positive,99.5,0.41423887
1520 E MILLBROOK RD,NA,RALEIGH,NC,27609,(919) 850-8700,2004-01-02,Public School Lunchrooms,4193,-78.61055165,35.84879257,M,"{""coordinates"": [-78.61055425120846, 35.848799664872686], ""type"": ""Point""}","35.848799664872686, -78.61055425120846",04092110142,MILLBROOK ELEM. SCH. CAFETERIA,positive,97.5,0.27123156
603 W GANNON AVE,NA,ZEBULON,NC,27597-2511,(919) 375-5200,1996-04-25,Restaurant,4344,-78.32832015,35.81991106,M,"{""coordinates"": [-78.328322665178, 35.819918161882974], ""type"": ""Point""}","35.819918161882974, -78.328322665178",04092011862,ZEBULON BP GRILL,positive,94,0.27931422
136 E HARGETT ST,NA,RALEIGH,NC,27601-1440,(919) 832-6090,1996-04-30,Restaurant,4359,-78.6368973,35.77800001,M,"{""coordinates"": [-78.63689990679497, 35.778007089859656], ""type"": ""Point""}","35.778007089859656, -78.63689990679497",04092011880,CAFFE LUNA,very positive,94,0.34088087
4420 LAKE BOONE TRL,NA,RALEIGH,NC,27607-7505,(919) 784-3401,1995-08-23,Restaurant,4528,-78.70241812,35.81817357,M,"{""coordinates"": [-78.70242074508546, 35.81818065918678], ""type"": ""Point""}","35.81818065918678, -78.70242074508546",04092011723,KORNER CAFE FOOD COURT,positive,100,0.33851868
2100 E MILLBROOK RD,NA,RALEIGH,NC,27604-1743,(919) 850-2139,2001-05-03,Food Stand,4710,-78.60121474,35.84847,M,"{""coordinates"": [-78.60121733876402, 35.848477089969265], ""type"": ""Point""}","35.848477089969265, -78.60121733876402",04092021066,CIRCLE K #8527,very positive,97.5,0.340986
1811 GLENWOOD AVE,NA,RALEIGH,NC,27608,(919) 834-6566,2004-04-01,Restaurant,4769,-78.64652514,35.80484566,M,"{""coordinates"": [-78.6465277547741, 35.80485274818642], ""type"": ""Point""}","35.80485274818642, -78.6465277547741",04092014015,THE THIRD PLACE,neutral,94,0.2965715
8421-101 BRIER CREEK PKY,NA,RALEIGH,NC,27617,(919) 572-9996,2004-04-07,Restaurant,4770,-78.78334835,35.9068519,M,"{""coordinates"": [-78.78335100876537, 35.906859000320836], ""type"": ""Point""}","35.906859000320836, -78.78335100876537",04092014019,JASON'S DELI,very positive,96,0.3561245
4325 GLENWOOD AVE,SUITE 2037,RALEIGH,NC,27612,(919) 235-4550,2004-05-01,Food Stand,4867,-78.67900996,35.83931725,M,"{""coordinates"": [-78.67901258449827, 35.839324340867115], ""type"": ""Point""}","35.839324340867115, -78.67901258449827",04092021272,MOE'S SOUTHWEST GRILL,positive,96.5,0.29880908
6801 TURNER CREEK RD,NA,CARY,NC,27519,(919) 363-1399,2004-07-09,Public School Lunchrooms,4907,-78.87522181,35.77275976,M,"{""coordinates"": [-78.87522449157437, 35.77276682634777], ""type"": ""Point""}","35.77276682634777, -78.87522449157437",04092110145,TURNER CREEK ELEMENTARY CAFETERIA,positive,100,0.3711287
2114 S MAIN ST,NA,WAKE FOREST,NC,27587,(919) 562-2921,2004-07-15,Food Stand,4929,-78.53503308,35.95207713,M,"{""coordinates"": [-78.53503567060584, 35.95208425139612], ""type"": ""Point""}","35.95208425139612, -78.53503567060584",04092021282,WALMART #5254 DELI,very positive,97.5,0.32527855
4431 NEW BERN AVE,NA,RALEIGH,NC,27610,(919) 212-6442,2004-08-24,Food Stand,4990,-78.56000658,35.80046199,M,"{""coordinates"": [-78.56000916232138, 35.80046907827594], ""type"": ""Point""}","35.80046907827594, -78.56000916232138",04092021291,WALMART #5292 DELI,very positive,97.5,0.3140664
5563 WESTERN  BLVD,SUITE 11-A,RALEIGH,NC,27606,(919) 851-1505,2004-08-26,Restaurant,4992,-78.72050862,35.78412834,M,"{""coordinates"": [-78.72051124898154, 35.78413541864604], ""type"": ""Point""}","35.78413541864604, -78.72051124898154",04092014119,HONG KONG CHINESE KITCHEN,very positive,95,0.31330827
151 AIRGATE DR,NA,MORRISVILLE,NC,27560-8495,(919) 484-7721,2000-02-02,Restaurant,5024,-78.81478791,35.8634455,M,"{""coordinates"": [-78.81479058065422, 35.86345258650981], ""type"": ""Point""}","35.86345258650981, -78.81479058065422",04092013101,CAPITAL CITY CHOP HOUSE,very positive,96.5,0.35248175
3244 CAPITAL BLVD,NA,RALEIGH,NC,27604-3338,(919) 862-8281,2000-12-08,Food Stand,5105,-78.58721066,35.82374666,M,"{""coordinates"": [-78.58721325440337, 35.82375375394796], ""type"": ""Point""}","35.82375375394796, -78.58721325440337",04092021045,COOK OUT,very positive,99,0.40710014
3101 INTEGRITY DR,NA,GARNER,NC,27529-8599,(919) 661-7718,2000-01-21,Restaurant,5511,-78.58226016,35.72489085,M,"{""coordinates"": [-78.58226275155663, 35.7248979219264], ""type"": ""Point""}","35.7248979219264, -78.58226275155663",04092013091,BURGER KING #12979,very positive,97,0.35003635
102  NEW WAVERLY PLACE,#B,CARY,NC,27511,(919) 816-8830,2000-05-09,Food Stand,5078,-78.77852676,35.7366694,M,"{""coordinates"": [-78.77852940387797, 35.73667646297901], ""type"": ""Point""}","35.73667646297901, -78.77852940387797",04092020943,WHOLE FOODS MARKET SEAFOOD SHOP,very positive,100,0.35567483
102  NEW WAVERLY PLACE,#B,CARY,NC,27511,(919) 816-8830,2000-05-09,Food Stand,5079,-78.77852676,35.7366694,M,"{""coordinates"": [-78.77852940387797, 35.73667646297901], ""type"": ""Point""}","35.73667646297901, -78.77852940387797",04092020944,WHOLE FOODS MARKET PRODUCE SHOP,very positive,99.5,0.38259053
517 N MAIN ST,NA,HOLLY SPRINGS,NC,27540-9397,(919) 557-1175,2000-07-01,Meat Market,5729,-78.83686967,35.65965929,M,"{""coordinates"": [-78.83687233236992, 35.65966634063028], ""type"": ""Point""}","35.65966634063028, -78.83687233236992",04092300143,FOOD LION #938 MEAT MARKET,very positive,99.5,0.32143626
5621 LOUISBURG RD,NA,RALEIGH,NC,27616-5353,(919) 981-0402,2000-07-01,Food Stand,5734,-78.55796941,35.85459908,M,"{""coordinates"": [-78.55797200280195, 35.85460617392628], ""type"": ""Point""}","35.85460617392628, -78.55797200280195",04092020973,FOOD LION #1079 DELI,very positive,100,0.31436053
3415 AVENT FERRY RD,NA,RALEIGH,NC,27607,(919) 858-9772,2000-07-01,Food Stand,5747,-78.69720796,35.76626192,M,"{""coordinates"": [-78.6972105840078, 35.76626899384288], ""type"": ""Point""}","35.76626899384288, -78.6972105840078",04092020992,FOOD LION #1454 DELI,positive,99,0.28645375
2837 WENDELL BLV,NA,WENDELL,NC,27591-6904,(919) 365-3002,2000-07-01,Food Stand,5757,-78.38037272,35.79568491,M,"{""coordinates"": [-78.38037525436589, 35.795692005796724], ""type"": ""Point""}","35.795692005796724, -78.38037525436589",04092020982,FOOD LION #815 DELI,very positive,97.5,0.36795232
3685 NEW BERN AVE,NA,RALEIGH,NC,27610-1232,(919) 231-7294,2000-07-01,Food Stand,5760,-78.57923889999998,35.79885066,M,"{""coordinates"": [-78.57924149152322, 35.798857742548705], ""type"": ""Point""}","35.798857742548705, -78.57924149152322",04092020979,FOOD LION #1259 DELI,very positive,98.5,0.30319342
9101 LEESVILLE RD,NA,RALEIGH,NC,27613-4091,(919) 848-6082,2000-09-22,Food Stand,5773,-78.72548111,35.89676189,M,"{""coordinates"": [-78.72548374824741, 35.89676899399455], ""type"": ""Point""}","35.89676899399455, -78.72548374824741",04092021036,FOOD LION #536 DELI,very positive,99,0.3720731
609 PEACE ST,NA,RALEIGH,NC,27605,(919) 754-9007,2000-09-26,Restaurant,5774,-78.64795656,35.78835767,M,"{""coordinates"": [-78.64795917342644, 35.78836474889353], ""type"": ""Point""}","35.78836474889353, -78.64795917342644",04092013208,STARBUCKS COFFEE #08373,very positive,99,0.31280655
1371 E BROAD ST,NA,FUQUAY-VARINA,NC,27526,(919) 567-7423,2019-04-18,Food Stand,21180,-78.77604193,35.59548914,M,"{""coordinates"": [-78.77604457480662, 35.59549617335156], ""type"": ""Point""}","35.59549617335156, -78.77604457480662",04092025254,HARRIS TEETER #498 PRODUCE,very positive,100,0.29579684
242 S MAIN ST,NA,HOLLY SPRINGS,NC,27540-9094,(984) 538-6742,2019-06-24,Restaurant,21188,-78.83394934,35.64920029,M,"{""coordinates"": [-78.83395200032615, 35.64920733534824], ""type"": ""Point""}","35.64920733534824, -78.83395200032615",04092018119,OSHA THAI KITCHEN AND SUSHI,very positive,97.5,0.31546405
2330 BALE ST,NA,RALEIGH,NC,27608,(919) 594-1930,2019-06-27,Restaurant,21196,-78.6274814,35.81292749,M,"{""coordinates"": [-78.62748400588535, 35.81293458038682], ""type"": ""Point""}","35.81293458038682, -78.62748400588535",04092018121,CHIDO TACO,neutral,91,0.26649815
7833 FUSSELL AVE,NA,CARY,NC,27519,(919) 694-8044 ext. 27920,2019-06-28,Public School Lunchrooms,21202,-78.90508914,35.85575774,M,"{""coordinates"": [-78.90509182917786, 35.855764826794875], ""type"": ""Point""}","35.855764826794875, -78.90509182917786",04092110533,ALSTON RIDGE MIDDLE SCHOOL CAFETERIA,positive,100,0.37052286
2610 CATES AVE,NA,RALEIGH,NC,27607,(919) 513-2013,2019-07-08,Restaurant,21226,-78.67872347,35.78447993,M,"{""coordinates"": [-78.67872609246402, 35.78448700606069], ""type"": ""Point""}","35.78448700606069, -78.67872609246402",04092018131,STARBUCKS NCSU,very positive,98.5,0.26261762
263 GRANDE HEIGHTS DR,NA,CARY,NC,27513,(919) 651-0060,2019-07-15,Restaurant,21242,-78.78057485,35.80470293,M,"{""coordinates"": [-78.78057750048258, 35.804710005956046], ""type"": ""Point""}","35.804710005956046, -78.78057750048258",04092018137,NYC BAGELS,very positive,100,0.2652003
940 US 64 HWY W,NA,APEX,NC,27523,NA,2019-07-15,Food Stand,21246,-78.82197009,35.74562543,M,"{""coordinates"": [-78.82197274829379, 35.745632497402276], ""type"": ""Point""}","35.745632497402276, -78.82197274829379",04092018128,HARRIS TEETER #496 STARBUCKS,very positive,100,0.27100018
8345 CREEDMOOR RD,NA,RALEIGH,NC,27613-1385,NA,2019-07-15,Food Stand,21251,-78.68223246,35.90105464,M,"{""coordinates"": [-78.68223508727118, 35.901061742258456], ""type"": ""Point""}","35.901061742258456, -78.68223508727118",04092025267,HARRIS TEETER #495 DELI,positive,97,0.28146943
421 FAYETTVILLE ST,NA,RALEIGH,NC,27601,(919) 834-7279,2019-07-18,Restaurant,21256,-78.63877682,35.77434442,M,"{""coordinates"": [-78.63877942502977, 35.77435149700515], ""type"": ""Point""}","35.77435149700515, -78.63877942502977",04092018138,CREMA AT CITY PLAZA,very negative,97.5,0.34393188
7000 WESTON PKWY,NA,CARY,NC,27513,(336) 317-4537,2019-07-26,Restaurant,21282,-78.79195185,35.83092875,M,"{""coordinates"": [-78.79195450653718, 35.83093583802035], ""type"": ""Point""}","35.83093583802035, -78.79195450653718",04092018143,VERIZON CARY MARKETPLACE,very positive,99,0.31330398
2610 CATES AVE,NA,RALEIGH,NC,27607,NA,2019-08-08,Food Stand,21336,-78.67872347,35.78447993,M,"{""coordinates"": [-78.67872609246402, 35.78448700606069], ""type"": ""Point""}","35.78448700606069, -78.67872609246402",04092025278,SUSHI WITH GUSTO AT ONE EARTH,very positive,97.5,0.40343013
3928 WESTERN BLVD,NA,RALEIGH,NC,27606,NA,2019-08-21,Restaurant,21384,-78.69252396,35.78575692,M,"{""coordinates"": [-78.69252658682659, 35.78576399999761], ""type"": ""Point""}","35.78576399999761, -78.69252658682659",04092018148,BISCUITVILLE #194,positive,97,0.2957496
1200 WAKE TOWNE DR,NA,RALEIGH,NC,27609,(984) 960-5600,2019-08-23,Restaurant,21392,-78.62082881,35.82131683,M,"{""coordinates"": [-78.62083141306816, 35.82132392231978], ""type"": ""Point""}","35.82132392231978, -78.62083141306816",04092018154,WEGMANS #108 - MAIN KITCHEN,positive,96.5,0.30351958
999 DURHAM  RD,STE 103,WAKE FOREST,NC,27587,(919) 556-9007,2019-08-27,Restaurant,21409,-78.54726425,35.97582905,M,"{""coordinates"": [-78.54726683825236, 35.97583617325168], ""type"": ""Point""}","35.97583617325168, -78.54726683825236",04092018160,DUNKIN' #351119,very negative,99,0.22970264
8201 CREEDMOOR RD,NA,RALEIGH,NC,27613,(919) 847-0245,2019-08-27,Restaurant,21410,-78.68124087,35.8986354,M,"{""coordinates"": [-78.68124349479274, 35.8986425032895], ""type"": ""Point""}","35.8986425032895, -78.68124349479274",04092018161,DUNKIN' #348561,very negative,98,0.22118312
13240 STRICKLAND RD,NA,RALEIGH,NC,27613,(919) 890-0089,2019-08-28,Restaurant,21415,-78.72644486,35.90762548,M,"{""coordinates"": [-78.72644750260474, 35.90763258096153], ""type"": ""Point""}","35.90763258096153, -78.72644750260474",04092018163,DUNKIN' #347603,neutral,97,0.22452939
1025 THINK  PL,NA,MORRISVILLE,NC,27560,(984) 974-7894,2019-09-03,Restaurant,21429,-78.83605482,35.8571005,M,"{""coordinates"": [-78.83605749721644, 35.85710758655028], ""type"": ""Point""}","35.85710758655028, -78.83605749721644",04092018166,UNC HEALTHCARE MOTOWN CAFE,very positive,98,0.34964475
5265 SIX FORKS RD,NA,RALEIGH,NC,27609-4431,(919) 571-1303,2019-09-25,Restaurant,21587,-78.6431573,35.85331091,M,"{""coordinates"": [-78.643159910787, 35.85331799996296], ""type"": ""Point""}","35.85331799996296, -78.643159910787",04092018184,DUNKIN DONUTS/BASKIN ROBBINS 334786,positive,93,0.257509
1100 MERCHANTILE DR,SUITE 100,RALEIGH,NC,27609,(919) 276-4591,2019-10-01,Restaurant,21651,-78.62082881,35.82131683,M,"{""coordinates"": [-78.62083141306816, 35.82132392231978], ""type"": ""Point""}","35.82132392231978, -78.62083141306816",04092018192,CAVA MIDTOWN,neutral,94.5,0.3235301
500 OBERLIN RD,NA,RALEIGH,NC,27605,(919) 828-9216,2019-10-29,Restaurant,21801,-78.66105896,35.79148992,M,"{""coordinates"": [-78.66106158088975, 35.79149699973599], ""type"": ""Point""}","35.79149699973599, -78.66106158088975",04092018208,HARRIS TEETER #21 STARBUCKS,very positive,100,0.30239886
301 MATTHEWS DR,NA,HOLLY SPRINGS,NC,27540,NA,2019-10-30,Restaurant,21809,-78.79440651,35.66435704,M,"{""coordinates"": [-78.79440915892002, 35.66436408965649], ""type"": ""Point""}","35.66436408965649, -78.79440915892002",04092018211,TOWN HALL BURGER AND BEER OF HOLLY SPRINGS,very positive,98,0.423824
4025 LAKE BOONE TRL,NA,RALEIGH,NC,27607,(919) 925-3400,2019-10-31,Restaurant,21817,-78.6970997,35.81457601,M,"{""coordinates"": [-78.69710233209544, 35.81458308972372], ""type"": ""Point""}","35.81458308972372, -78.69710233209544",04092018212,JUST SALAD,neutral,97,0.24035622
4325 GLENWOOD  AVE,UNIT 2047,RALEIGH,NC,27612,(919) 782-1911,2019-10-31,Food Stand,21812,-78.67900996,35.83931725,M,"{""coordinates"": [-78.67901258449827, 35.839324340867115], ""type"": ""Point""}","35.839324340867115, -78.67901258449827",04092025290,CHICK-FIL-A CRABTREE VALLEY MALL #00060,very positive,99,0.36054292
2127 TEN TEN RD,NA,APEX,NC,27539,(919) 303-1770,2019-11-06,Restaurant,21836,-78.81811359,35.72082295,M,"{""coordinates"": [-78.8181162486048, 35.72083000616011], ""type"": ""Point""}","35.72083000616011, -78.8181162486048",04092018219,BIG SERGIO'S PIZZA OF APEX,very positive,95,0.5107559
4203 FAYETTEVILLE RD,NA,RALEIGH,NC,27603,(919) 757-1181,2019-11-21,Restaurant,21873,-78.65202015,35.72206519,M,"{""coordinates"": [-78.65202275698034, 35.72207225770551], ""type"": ""Point""}","35.72207225770551, -78.65202275698034",04092018238,STARBUCKS #57972,very positive,99,0.28490937
8111-167 CREEDMOOR  RD,NA,RALEIGH,NC,27612,(919) 848-9890,2019-12-03,Food Stand,21885,-78.68248846,35.8985009,M,"{""coordinates"": [-78.6824910840312, 35.89850800624942], ""type"": ""Point""}","35.89850800624942, -78.6824910840312",04092025297,PIZZA HUT #2024,very positive,97.5,0.32088077
3691 NEW BERN AVE,NA,RALEIGH,NC,27610,(919) 900-8096,2019-12-03,Restaurant,21889,-78.57923889999998,35.79885066,M,"{""coordinates"": [-78.57924149152322, 35.798857742548705], ""type"": ""Point""}","35.798857742548705, -78.57924149152322",04092018250,PIZZA HUT #036586,very positive,98,0.32602653
1600 RONALD DR,STE 107,RALEIGH,NC,27609,(919) 977-8149,2019-12-10,Restaurant,21910,-78.61018997,35.83816391,M,"{""coordinates"": [-78.61019257541402, 35.83817100024549], ""type"": ""Point""}","35.83817100024549, -78.61019257541402",04092018259,LAS MARIAS TACOS Y PUPUSAS RESTAURANT,very positive,93,0.33979034
2451 ALUMNI DR,NA,RALEIGH,NC,27606,(919) 743-0055,2020-01-21,Restaurant,21976,-78.67777654,35.76375243,M,"{""coordinates"": [-78.67777916481363, 35.76375950262334], ""type"": ""Point""}","35.76375950262334, -78.67777916481363",04092018297,FLASK & BEAKER AT STATEVIEW HOTEL,very positive,95,0.3950877
301 ST MARYS ST,NA,RALEIGH,NC,27605-1731,(919) 856-7723,2020-01-27,Public School Lunchrooms,21999,-78.65174531,35.78472142,M,"{""coordinates"": [-78.65174792207121, 35.78472849685088], ""type"": ""Point""}","35.78472849685088, -78.65174792207121",04092110538,WILEY ELEMENTARY SCHOOL CAFE,positive,100,0.35910687
124 N SALEM ST,NA,APEX,NC,27502,(919) 629-4064,2020-01-28,Restaurant,22002,-78.85070691,35.73146061,M,"{""coordinates"": [-78.85070958131028, 35.73146767020095], ""type"": ""Point""}","35.73146767020095, -78.85070958131028",04092018310,MISSION MARKET CAFE,very positive,95.5,0.33737707
3110-116 NEW BERN AVE,NA,RALEIGH,NC,27610,(984) 200-5884,2020-02-27,Restaurant,22069,-78.5867454,35.78851092,M,"{""coordinates"": [-78.58674799433155, 35.78851799995525], ""type"": ""Point""}","35.78851799995525, -78.58674799433155",04092018328,THE BUTCHER'S MEXICAN GRILL,positive,97,0.30102253
3424 CAPITAL BLVD,NA,RALEIGH,NC,27604,(919) 872-0500,2020-03-02,Restaurant,22070,-78.5844104,35.82680683,M,"{""coordinates"": [-78.58441299737555, 35.82681392194504], ""type"": ""Point""}","35.82681392194504, -78.58441299737555",04092018329,GOLDEN CORRAL - CAPITAL BLVD #942,very positive,98.5,0.38682097
3209 GRESHAM LAKE RD,SUITE 119,RALEIGH,NC,27615-3757,(919) 559-2673,2020-03-31,Mobile Food Units,22102,-78.58045032,35.88537765,M,"{""coordinates"": [-78.58045291289199, 35.8853847487203], ""type"": ""Point""}","35.8853847487203, -78.58045291289199",04092030473,COUSINS MAINE LOBSTER #3 (WCID #762),very positive,99.5,0.36646128
2161 S WILMINGTON ST,NA,RALEIGH,NC,27603,(919) 576-0249,2020-04-24,Food Stand,22130,-78.63902823,35.7520526,M,"{""coordinates"": [-78.63903083820921, 35.752059670156385], ""type"": ""Point""}","35.752059670156385, -78.63903083820921",04092025311,BISCUIT HAVEN @TKA,very positive,100,0.33507043
2700 OLD MILBURNIE RD,NA,RALEIGH,NC,27604,(919) 266-8500 ext. 21141,2020-05-20,Public School Lunchrooms,22159,-78.50144594,35.82607733,M,"{""coordinates"": [-78.50144850857201, 35.826084419421676], ""type"": ""Point""}","35.826084419421676, -78.50144850857201",04092110539,NEUSE RIVER MIDDLE SCHOOL CAFETERIA,positive,98.5,0.34583104
10255 CHAPEL HILL RD,STE 400,MORRISVILLE,NC,27560,(919) 481-6881,2020-06-03,Restaurant,22171,-78.82787824,35.83012817,M,"{""coordinates"": [-78.82788091283449, 35.830135257129164], ""type"": ""Point""}","35.830135257129164, -78.82788091283449",04092018376,ROYAL MAHARAJA INDIAN KITCHEN,very positive,96.5,0.6247992
4203 FAYETTEVILLE RD,NA,RALEIGH,NC,27603,(919) 662-8393,2020-06-05,Restaurant,22183,-78.65202015,35.72206519,M,"{""coordinates"": [-78.65202275698034, 35.72207225770551], ""type"": ""Point""}","35.72207225770551, -78.65202275698034",04092018379,CHIPOTLE MEXICAN GRILL - GARNER,positive,98.5,0.26829013
2201 S WILMINGTON ST,NA,RALEIGH,NC,27603,(919) 896-1333,2020-06-09,Mobile Food Units,22199,-78.63902823,35.7520526,M,"{""coordinates"": [-78.63903083820921, 35.752059670156385], ""type"": ""Point""}","35.752059670156385, -78.63903083820921",04092030481,SAME O DAME O'S (WCID # 770),neutral,98,0.2799412
2161 S WILMINGTON ST,NA,RALEIGH,NC,27603-2559,(919) 576-0249,2020-06-15,Mobile Food Units,22205,-78.63902823,35.7520526,M,"{""coordinates"": [-78.63903083820921, 35.752059670156385], ""type"": ""Point""}","35.752059670156385, -78.63903083820921",04092030482,BISCUIT HAVEN (WCID #771),positive,100,0.32545862
