Name,playerid,birth_date,PA_21,OBP_21,PA_20,OBP_20,PA_19,OBP_19,PA_18,OBP_18,PA_17,OBP_17,PA_16,OBP_16
Francisco Lindor,12916,1993-11-14,524,0.322,266.0,0.335,654.0,0.335,745.0,0.35200000000000004,723.0,0.337,684.0,0.358
Ehire Adrianza,8418,1989-08-21,209,0.327,101.0,0.287,236.0,0.349,366.0,0.301,186.0,0.324,71.0,0.299
Jose Rondon,14140,1994-03-03,90,0.322,,,157.0,0.263,107.0,0.28,,,26.0,0.154
Eric Haase,14111,1992-12-18,381,0.28600000000000003,19.0,0.21100000000000002,17.0,0.11800000000000001,17.0,0.17600000000000002,,,,
Lars Nootbaar,21454,1997-09-08,124,0.317,,,,,,,,,,
Eddie Rosario,12155,1991-09-28,412,0.305,231.0,0.316,590.0,0.3,592.0,0.32299999999999995,589.0,0.32799999999999996,354.0,0.295
Kyle Farmer,14813,1990-08-17,529,0.316,70.0,0.32899999999999996,197.0,0.27899999999999997,77.0,0.312,20.0,0.3,,
Austin Nola,15941,1989-12-28,194,0.34,184.0,0.353,267.0,0.342,,,,,,
Amed Rosario,15518,1995-11-20,588,0.321,147.0,0.272,655.0,0.32299999999999995,592.0,0.295,170.0,0.271,,
Joc Pederson,11899,1992-04-21,481,0.31,138.0,0.285,514.0,0.33899999999999997,443.0,0.321,323.0,0.331,476.0,0.35200000000000004
Jake McCarthy,21622,1997-07-30,70,0.33299999999999996,,,,,,,,,,
Manny Pina,2829,1987-06-05,208,0.293,45.0,0.33299999999999996,179.0,0.313,337.0,0.307,359.0,0.327,81.0,0.34600000000000003
DJ LeMahieu,9874,1988-07-13,679,0.349,216.0,0.42100000000000004,655.0,0.375,581.0,0.321,682.0,0.374,635.0,0.41600000000000004
Seth Brown,18171,1992-07-13,307,0.27399999999999997,5.0,0.0,83.0,0.361,,,,,,
Bobby Bradley,17278,1996-05-29,279,0.294,,,49.0,0.245,,,,,,
Gary Sanchez,11442,1992-12-02,440,0.307,178.0,0.253,446.0,0.316,374.0,0.29100000000000004,525.0,0.345,229.0,0.376
Brian Anderson,18289,1993-05-19,264,0.337,229.0,0.345,520.0,0.342,670.0,0.35700000000000004,95.0,0.337,,
Kyle Garlick,18063,1992-01-26,107,0.28,23.0,0.174,53.0,0.321,,,,,,
Adolis Garcia,19287,1993-03-02,622,0.28600000000000003,7.0,0.14300000000000002,,,17.0,0.11800000000000001,,,,
David Peralta,2136,1987-08-14,538,0.325,218.0,0.33899999999999997,423.0,0.34299999999999997,614.0,0.35200000000000004,577.0,0.35200000000000004,183.0,0.295
J.P. Crawford,15491,1995-01-11,687,0.33799999999999997,232.0,0.336,396.0,0.313,138.0,0.319,87.0,0.35600000000000004,,
Alex Dickerson,12649,1990-05-26,312,0.304,170.0,0.371,190.0,0.332,,,,,285.0,0.33299999999999996
Brett Phillips,14735,1994-05-30,292,0.3,59.0,0.305,79.0,0.247,147.0,0.252,98.0,0.35100000000000003,,
Jazz Chisholm Jr.,20454,1998-02-01,507,0.303,62.0,0.242,,,,,,,,
Travis Jankowski,13768,1991-06-15,157,0.364,17.0,0.17600000000000002,24.0,0.25,387.0,0.332,87.0,0.282,383.0,0.332
Odubel Herrera,11476,1991-12-29,492,0.31,,,139.0,0.28800000000000003,597.0,0.31,563.0,0.325,656.0,0.361
Leury Garcia,5913,1991-03-18,474,0.335,63.0,0.317,618.0,0.31,275.0,0.303,326.0,0.316,50.0,0.26
Jacob Stallings,13723,1989-12-22,427,0.335,143.0,0.326,210.0,0.325,41.0,0.268,16.0,0.43799999999999994,15.0,0.4
Wilmer Difo,14320,1992-04-02,240,0.32899999999999996,18.0,0.222,144.0,0.315,456.0,0.298,365.0,0.319,66.0,0.364
Matt Chapman,16505,1993-04-28,622,0.314,152.0,0.276,670.0,0.342,616.0,0.35600000000000004,326.0,0.313,,
Miguel Rojas,7802,1989-02-24,539,0.322,143.0,0.392,526.0,0.331,528.0,0.297,306.0,0.361,214.0,0.28800000000000003
Jed Lowrie,4418,1984-04-17,512,0.318,,,8.0,0.125,680.0,0.353,645.0,0.36,369.0,0.314
Luis Torrens,15905,1996-05-02,378,0.299,78.0,0.325,16.0,0.313,,,139.0,0.243,,
Alex Avila,7476,1987-01-29,111,0.345,62.0,0.355,201.0,0.353,234.0,0.299,376.0,0.387,209.0,0.359
Myles Straw,17620,1994-10-17,638,0.349,86.0,0.244,128.0,0.37799999999999995,10.0,0.4,,,,
Aledmys Diaz,15937,1990-08-01,319,0.317,59.0,0.254,247.0,0.35600000000000004,452.0,0.303,301.0,0.29,460.0,0.369
Luis Guillorme,16451,1994-09-27,156,0.374,68.0,0.426,70.0,0.324,74.0,0.284,,,,
Kevin Kiermaier,11038,1990-04-22,390,0.32799999999999996,159.0,0.321,480.0,0.278,367.0,0.282,421.0,0.33799999999999997,414.0,0.331
Anthony Rendon,12861,1990-06-06,249,0.32899999999999996,232.0,0.418,646.0,0.41200000000000003,597.0,0.374,605.0,0.40299999999999997,647.0,0.348
Anthony Alford,14329,1994-07-20,148,0.311,29.0,0.24100000000000002,30.0,0.233,21.0,0.19,8.0,0.125,,
D.J. Stewart,17766,1993-11-30,318,0.324,112.0,0.355,142.0,0.317,47.0,0.34,,,,
Nick Maton,21635,1997-02-18,131,0.32299999999999995,,,,,,,,,,
Sean Murphy,19352,1994-10-04,448,0.306,140.0,0.364,60.0,0.33299999999999996,,,,,,
Gio Urshela,10681,1991-10-11,442,0.301,174.0,0.368,476.0,0.355,46.0,0.28300000000000003,165.0,0.262,,
Max Kepler,12144,1993-02-10,490,0.306,196.0,0.321,596.0,0.336,611.0,0.319,568.0,0.312,447.0,0.309
Starlin Castro,4579,1990-03-24,346,0.33299999999999996,63.0,0.302,676.0,0.3,647.0,0.32899999999999996,473.0,0.33799999999999997,610.0,0.3
Yan Gomes,9627,1987-07-19,375,0.301,119.0,0.319,358.0,0.316,435.0,0.313,383.0,0.309,264.0,0.201
Kyle Seager,9785,1987-11-03,670,0.285,248.0,0.355,443.0,0.321,630.0,0.273,650.0,0.32299999999999995,676.0,0.359
Michael Hermosillo,16285,1995-01-17,38,0.237,10.0,0.3,46.0,0.304,62.0,0.27399999999999997,,,,
Tommy La Stella,12371,1989-01-31,242,0.308,228.0,0.37,321.0,0.34600000000000003,192.0,0.34,151.0,0.389,169.0,0.35700000000000004
Chad Pinder,15191,1992-03-29,233,0.3,61.0,0.295,370.0,0.29,333.0,0.332,309.0,0.292,55.0,0.273
Gleyber Torres,16997,1996-12-13,516,0.331,160.0,0.35600000000000004,604.0,0.337,484.0,0.34,,,,
Anthony Santander,14551,1994-10-19,438,0.28600000000000003,165.0,0.315,405.0,0.297,108.0,0.25,31.0,0.258,,
Alex Kirilloff,20325,1997-11-09,231,0.299,,,,,,,,,,
Andrew Vaughn,26197,1998-04-03,469,0.309,,,,,,,,,,
Whit Merrifield,11281,1989-01-24,720,0.317,265.0,0.325,735.0,0.348,707.0,0.36700000000000005,630.0,0.324,332.0,0.32299999999999995
Adalberto Mondesi,13769,1995-07-27,136,0.271,233.0,0.294,443.0,0.29100000000000004,291.0,0.306,60.0,0.214,149.0,0.231
Eugenio Suarez,12552,1991-07-18,574,0.28600000000000003,231.0,0.312,662.0,0.358,606.0,0.366,632.0,0.36700000000000005,627.0,0.317
Brian Goodwin,12858,1990-11-02,271,0.319,164.0,0.299,458.0,0.326,180.0,0.318,278.0,0.313,44.0,0.318
Rowdy Tellez,15679,1995-03-16,325,0.305,127.0,0.34600000000000003,409.0,0.293,73.0,0.32899999999999996,,,,
Derek Hill,16947,1995-12-30,150,0.313,12.0,0.16699999999999998,,,,,,,,
Freddy Galvis,6609,1989-11-14,394,0.302,159.0,0.308,589.0,0.29600000000000004,656.0,0.299,663.0,0.309,624.0,0.27399999999999997
Brett Gardner,9927,1983-08-24,461,0.327,158.0,0.354,550.0,0.325,609.0,0.322,682.0,0.35,634.0,0.35100000000000003
Justin Upton,5222,1987-08-25,362,0.29600000000000004,166.0,0.289,256.0,0.309,613.0,0.344,635.0,0.361,626.0,0.31
Miguel Cabrera,1744,1983-04-18,526,0.316,231.0,0.32899999999999996,549.0,0.34600000000000003,157.0,0.395,529.0,0.32899999999999996,679.0,0.39299999999999996
Raimel Tapia,14350,1994-02-04,533,0.327,206.0,0.369,447.0,0.309,27.0,0.259,171.0,0.32899999999999996,41.0,0.293
Tyler Wade,15730,1994-11-23,145,0.354,105.0,0.28800000000000003,108.0,0.33,70.0,0.214,63.0,0.222,,
Jose Iglesias,10231,1990-01-05,511,0.309,150.0,0.4,530.0,0.318,464.0,0.31,489.0,0.28800000000000003,513.0,0.306
Christian Walker,13419,1991-03-28,445,0.315,243.0,0.33299999999999996,603.0,0.348,53.0,0.226,15.0,0.4,,
Yonathan Daza,15794,1994-02-28,331,0.332,,,105.0,0.257,,,,,,
William Contreras,20503,1997-12-24,185,0.303,10.0,0.4,,,,,,,,
Gavin Lux,19955,1997-11-23,381,0.32799999999999996,69.0,0.24600000000000002,82.0,0.305,,,,,,
Pablo Reyes,16357,1993-09-05,87,0.33299999999999996,,,157.0,0.27399999999999997,63.0,0.349,,,,
Abraham Toro,19844,1996-12-20,375,0.315,97.0,0.237,89.0,0.303,,,,,,
Aristides Aquino,15482,1994-04-22,204,0.299,56.0,0.304,225.0,0.316,1.0,0.0,,,,
Jo Adell,20220,1999-04-08,140,0.295,132.0,0.212,,,,,,,,
Albert Pujols,1177,1980-01-16,296,0.284,163.0,0.27,545.0,0.305,498.0,0.289,636.0,0.28600000000000003,650.0,0.32299999999999995
Harold Ramirez,14387,1994-09-06,361,0.305,11.0,0.273,446.0,0.312,,,,,,
Josh Naylor,18839,1997-06-22,250,0.301,104.0,0.29100000000000004,279.0,0.315,,,,,,
Cesar Hernandez,10556,1990-05-23,637,0.308,261.0,0.355,667.0,0.33299999999999996,708.0,0.35600000000000004,577.0,0.373,622.0,0.371
Yoshi Tsutsugo,27459,1991-11-26,262,0.307,185.0,0.314,,,,,,,,
Ke'Bryan Hayes,18577,1997-01-28,396,0.316,95.0,0.442,,,,,,,,
Willie Calhoun,17838,1994-11-04,284,0.31,108.0,0.231,337.0,0.32299999999999995,108.0,0.26899999999999996,37.0,0.324,,
Manuel Margot,14712,1994-09-28,464,0.313,159.0,0.327,441.0,0.304,519.0,0.292,529.0,0.313,37.0,0.243
Tommy Edman,19470,1995-05-09,691,0.308,227.0,0.317,349.0,0.35,,,,,,
Edward Olivares,19698,1996-03-06,111,0.29100000000000004,101.0,0.267,,,,,,,,
Brent Rooker,19627,1994-11-01,213,0.29100000000000004,21.0,0.381,,,,,,,,
Jeff McNeil,15362,1992-04-08,426,0.319,209.0,0.38299999999999995,567.0,0.384,248.0,0.381,,,,
Zack Collins,19181,1995-02-06,231,0.33,18.0,0.16699999999999998,102.0,0.307,,,,,,
Trevor Larnach,21501,1997-02-26,301,0.322,,,,,,,,,,
Tucker Barnhart,10200,1991-01-07,388,0.317,110.0,0.29100000000000004,364.0,0.32799999999999996,522.0,0.32799999999999996,423.0,0.34700000000000003,420.0,0.32299999999999995
Yohel Pozo,18848,1997-06-14,77,0.312,,,,,,,,,,
Randal Grichuk,10243,1991-08-13,545,0.281,231.0,0.312,628.0,0.28,462.0,0.301,442.0,0.285,478.0,0.289
Mitch Moreland,3086,1985-09-06,252,0.28600000000000003,152.0,0.342,335.0,0.32799999999999996,459.0,0.325,576.0,0.326,503.0,0.298
Bradley Zimmer,16221,1992-11-27,348,0.325,50.0,0.36,14.0,0.071,114.0,0.281,332.0,0.307,,
Pedro Severino,14523,1993-07-20,419,0.308,178.0,0.322,341.0,0.321,213.0,0.254,31.0,0.226,34.0,0.441
Nick Solak,19294,1995-01-11,511,0.314,233.0,0.326,135.0,0.39299999999999996,,,,,,
Victor Reyes,15487,1994-10-05,220,0.284,213.0,0.315,292.0,0.336,219.0,0.239,,,,
Cavan Biggio,19252,1995-04-11,294,0.322,265.0,0.375,430.0,0.364,,,,,,
Jake Lamb,13329,1990-10-09,170,0.306,99.0,0.28300000000000003,226.0,0.32299999999999995,238.0,0.307,635.0,0.35700000000000004,594.0,0.332
Phil Gosselin,10953,1988-10-03,373,0.314,102.0,0.324,68.0,0.294,28.0,0.25,50.0,0.18,240.0,0.324
Asdrubal Cabrera,4962,1985-11-13,352,0.313,213.0,0.305,514.0,0.342,592.0,0.316,540.0,0.35100000000000003,568.0,0.336
Kevin Pillar,12434,1989-01-04,347,0.27699999999999997,223.0,0.336,645.0,0.287,542.0,0.282,632.0,0.3,584.0,0.303
Hanser Alberto,11902,1992-10-17,255,0.29100000000000004,231.0,0.306,550.0,0.32899999999999996,30.0,0.24100000000000002,,,58.0,0.14300000000000002
Brandon Marsh,20202,1997-12-18,260,0.317,,,,,,,,,,
Rob Refsnyder,13770,1991-03-26,157,0.325,34.0,0.265,,,103.0,0.314,98.0,0.247,175.0,0.32799999999999996
Jordy Mercer,6547,1986-08-27,127,0.307,22.0,0.273,271.0,0.31,436.0,0.315,558.0,0.326,584.0,0.32799999999999996
Dom Nunez,15055,1995-01-17,263,0.293,,,43.0,0.233,,,,,,
Yu Chang,14773,1995-08-18,251,0.267,13.0,0.308,84.0,0.28600000000000003,,,,,,
Carlos Santana,2396,1986-04-08,659,0.319,255.0,0.349,686.0,0.397,679.0,0.35200000000000004,667.0,0.363,688.0,0.366
Oscar Mercado,16375,1994-12-16,238,0.3,93.0,0.174,482.0,0.318,,,,,,
Breyvic Valera,12758,1992-01-08,97,0.313,,,52.0,0.308,75.0,0.301,11.0,0.182,,
Paul DeJong,18015,1993-08-02,402,0.284,174.0,0.322,664.0,0.318,490.0,0.313,443.0,0.325,,
Jurickson Profar,10815,1993-02-20,412,0.32899999999999996,202.0,0.34299999999999997,518.0,0.301,594.0,0.335,70.0,0.294,307.0,0.321
Grayson Greiner,17062,1992-10-11,82,0.321,55.0,0.182,224.0,0.251,116.0,0.32799999999999996,,,,
Hunter Dozier,15117,1991-08-22,543,0.285,186.0,0.344,586.0,0.348,388.0,0.278,,,21.0,0.28600000000000003
Isiah Kiner-Falefa,16512,1995-03-23,677,0.312,228.0,0.32899999999999996,222.0,0.299,396.0,0.325,,,,
Kole Calhoun,11200,1987-10-14,182,0.297,228.0,0.33799999999999997,632.0,0.325,552.0,0.28300000000000003,654.0,0.33299999999999996,672.0,0.348
Guillermo Heredia,18721,1991-01-31,347,0.311,36.0,0.278,231.0,0.306,337.0,0.318,426.0,0.315,107.0,0.349
Charlie Culberson,3298,1989-04-10,271,0.29600000000000004,7.0,0.14300000000000002,144.0,0.294,322.0,0.326,15.0,0.267,68.0,0.294
Jose Rojas,19331,1993-02-24,184,0.27699999999999997,,,,,,,,,,
Luis Garcia,20391,2000-05-16,247,0.275,139.0,0.302,,,,,,,,
Travis d'Arnaud,7739,1989-02-10,229,0.284,184.0,0.386,391.0,0.312,16.0,0.25,376.0,0.293,276.0,0.307
Jorge Mateo,17273,1995-06-23,209,0.293,28.0,0.185,,,,,,,,
Harold Castro,14691,1993-11-30,339,0.31,54.0,0.40700000000000003,369.0,0.305,10.0,0.3,,,,
Tom Murphy,13499,1991-04-03,325,0.304,,,281.0,0.324,96.0,0.25,26.0,0.115,49.0,0.34700000000000003
Dominic Smith,15653,1995-06-15,493,0.304,199.0,0.377,197.0,0.355,149.0,0.255,183.0,0.262,,
Pablo Sandoval,5409,1986-08-11,86,0.302,94.0,0.287,296.0,0.313,252.0,0.31,279.0,0.265,7.0,0.14300000000000002
Yadier Molina,7007,1982-07-13,473,0.297,156.0,0.303,452.0,0.312,503.0,0.314,543.0,0.312,581.0,0.36
Rougned Odor,12282,1994-02-03,361,0.28600000000000003,148.0,0.209,581.0,0.28300000000000003,535.0,0.326,651.0,0.252,632.0,0.29600000000000004
Ryan Jeffers,24618,1997-06-03,293,0.27,62.0,0.355,,,,,,,,
Clint Frazier,15983,1994-09-06,218,0.317,160.0,0.39399999999999996,246.0,0.317,41.0,0.39,142.0,0.268,,
Christian Vazquez,9774,1990-08-21,498,0.308,189.0,0.344,521.0,0.32,269.0,0.257,345.0,0.33,184.0,0.27699999999999997
Curt Casali,12510,1988-11-09,231,0.313,93.0,0.366,236.0,0.331,156.0,0.355,13.0,0.462,256.0,0.273
Emmanuel Rivera,19890,1996-06-29,98,0.316,,,,,,,,,,
Travis Shaw,11982,1990-04-16,250,0.28600000000000003,180.0,0.306,270.0,0.281,587.0,0.345,606.0,0.349,530.0,0.306
Reese McGuire,15674,1995-03-02,217,0.31,45.0,0.073,105.0,0.34600000000000003,33.0,0.33299999999999996,,,,
Rene Rivera,3648,1983-07-31,78,0.293,4.0,0.25,20.0,0.35,91.0,0.275,237.0,0.305,207.0,0.29100000000000004
Garrett Hampson,19262,1994-10-10,494,0.289,184.0,0.287,327.0,0.302,48.0,0.396,,,,
Lewin Diaz,18365,1996-11-19,128,0.242,41.0,0.195,,,,,,,,
Miguel Andujar,15878,1995-03-02,162,0.284,65.0,0.27699999999999997,49.0,0.14300000000000002,606.0,0.32799999999999996,8.0,0.625,,
Renato Nunez,14503,1994-04-04,55,0.218,216.0,0.324,599.0,0.311,261.0,0.322,16.0,0.25,15.0,0.133
Jake Marisnick,11339,1991-03-30,198,0.28600000000000003,34.0,0.353,318.0,0.289,235.0,0.275,259.0,0.319,311.0,0.257
Nick Martini,12005,1990-06-27,45,0.35600000000000004,,,109.0,0.33,179.0,0.397,,,,
Josh VanMeter,15170,1995-03-10,310,0.297,79.0,0.228,260.0,0.327,,,,,,
Nick Senzel,19293,1995-06-29,124,0.32299999999999995,78.0,0.247,414.0,0.315,,,,,,
Niko Goodrum,12092,1992-02-28,325,0.292,179.0,0.263,472.0,0.322,492.0,0.315,18.0,0.111,,
Michael A. Taylor,11489,1991-03-26,528,0.297,99.0,0.253,97.0,0.305,385.0,0.287,432.0,0.32,237.0,0.278
Webster Rivas,14636,1990-08-08,77,0.303,,,,,,,,,,
Alec Bohm,21618,1996-08-03,417,0.305,180.0,0.4,,,,,,,,
Austin Barnes,12158,1989-12-28,225,0.299,104.0,0.353,242.0,0.293,238.0,0.32899999999999996,262.0,0.408,37.0,0.27
Jack Mayfield,15402,1990-09-30,290,0.272,47.0,0.239,65.0,0.16899999999999998,,,,,,
Marcell Ozuna,10324,1990-11-12,208,0.28800000000000003,267.0,0.431,549.0,0.32799999999999996,628.0,0.325,679.0,0.376,608.0,0.321
Mike Moustakas,4892,1988-09-11,206,0.282,163.0,0.331,584.0,0.32899999999999996,635.0,0.315,598.0,0.314,113.0,0.301
Luke Williams,19931,1996-08-09,108,0.315,,,,,,,,,,
Taylor Jones,19533,1993-12-06,108,0.26899999999999996,22.0,0.22699999999999998,,,,,,,,
Nick Gordon,16337,1995-10-24,216,0.292,,,,,,,,,,
Josh Reddick,3892,1987-02-19,158,0.285,210.0,0.316,550.0,0.319,487.0,0.318,540.0,0.363,439.0,0.345
Zach McKinstry,19392,1995-04-29,172,0.263,7.0,0.28600000000000003,,,,,,,,
Jon Berti,12037,1990-01-22,271,0.311,149.0,0.38799999999999996,287.0,0.348,15.0,0.267,,,,
Cole Tucker,17326,1996-07-03,131,0.298,116.0,0.252,159.0,0.266,,,,,,
Gerardo Parra,8553,1987-05-06,107,0.292,,,301.0,0.293,443.0,0.342,425.0,0.341,381.0,0.271
Kurt Suzuki,8259,1983-10-04,247,0.294,129.0,0.349,309.0,0.324,388.0,0.332,309.0,0.35100000000000003,373.0,0.301
Jonathan Arauz,20275,1998-08-03,75,0.27399999999999997,80.0,0.325,,,,,,,,
Rodolfo Castro,21987,1999-05-21,93,0.258,,,,,,,,,,
James McCann,12859,1990-06-13,412,0.294,111.0,0.36,476.0,0.32799999999999996,457.0,0.267,391.0,0.318,373.0,0.272
Daz Cameron,18353,1997-01-15,115,0.278,59.0,0.22,,,,,,,,
Jose Peraza,13593,1994-04-30,154,0.266,120.0,0.275,403.0,0.285,683.0,0.326,518.0,0.297,256.0,0.35200000000000004
Aaron Hicks,5297,1989-10-02,126,0.294,211.0,0.379,255.0,0.325,581.0,0.366,361.0,0.37200000000000005,361.0,0.281
Hoy Park,18027,1996-04-07,150,0.297,,,,,,,,,,
Taylor Walls,22458,1996-07-10,176,0.314,,,,,,,,,,
Sergio Alcantara,16417,1996-07-10,255,0.303,23.0,0.217,,,,,,,,
Stephen Piscotty,13367,1991-01-14,188,0.282,171.0,0.271,393.0,0.309,605.0,0.331,401.0,0.342,649.0,0.34299999999999997
Phillip Evans,12950,1992-09-10,247,0.312,45.0,0.444,,,23.0,0.217,38.0,0.395,,
Mauricio Dubon,16530,1994-07-19,187,0.278,177.0,0.337,111.0,0.306,,,,,,
Michael Chavis,17321,1995-08-11,124,0.258,158.0,0.259,382.0,0.322,,,,,,
Andres Gimenez,19950,1998-09-04,210,0.282,132.0,0.33299999999999996,,,,,,,,
Eddy Alvarez,16959,1990-01-30,74,0.297,41.0,0.268,,,,,,,,
Billy McKinney,15654,1994-08-23,300,0.28,3.0,0.667,276.0,0.27399999999999997,132.0,0.318,,,,
Rafael Marchan,21646,1999-02-25,56,0.28600000000000003,9.0,0.556,,,,,,,,
Cam Gallagher,12981,1992-12-06,124,0.298,60.0,0.35600000000000004,142.0,0.312,69.0,0.25,27.0,0.33299999999999996,,
Andrew Stevenson,17932,1994-06-01,213,0.294,47.0,0.447,37.0,0.486,86.0,0.306,66.0,0.25,,
Jose Devers,20540,1999-12-07,46,0.304,,,,,,,,,,
Carter Kieboom,19958,1997-09-03,249,0.301,122.0,0.344,43.0,0.209,,,,,,
Gregory Polanco,12907,1991-09-14,382,0.28300000000000003,174.0,0.214,167.0,0.301,535.0,0.34,411.0,0.305,587.0,0.32299999999999995
Wilson Ramos,1433,1987-08-10,163,0.248,155.0,0.297,524.0,0.35100000000000003,416.0,0.358,224.0,0.29,523.0,0.354
Johneshwy Fargas,16446,1994-12-15,54,0.264,,,,,,,,,,
Roman Quinn,13546,1993-05-14,62,0.306,116.0,0.261,122.0,0.298,143.0,0.317,,,69.0,0.373
Didi Gregorius,6012,1990-02-18,408,0.27,237.0,0.33899999999999997,344.0,0.276,569.0,0.335,570.0,0.318,597.0,0.304
Lewis Brinson,14352,1994-05-08,290,0.263,112.0,0.268,248.0,0.23600000000000002,406.0,0.24,55.0,0.23600000000000002,,
Ernie Clement,20352,1996-03-22,133,0.285,,,,,,,,,,
Jason Heyward,4940,1989-08-09,353,0.28,181.0,0.392,589.0,0.34299999999999997,489.0,0.335,481.0,0.326,592.0,0.306
Daniel Johnson,19643,1995-07-11,81,0.259,13.0,0.154,,,,,,,,
Ryan O'Hearn,16442,1993-07-26,254,0.268,132.0,0.303,370.0,0.281,170.0,0.353,,,,
Juan Lagares,5384,1989-03-17,327,0.266,0.0,0.0,285.0,0.27899999999999997,64.0,0.375,272.0,0.29600000000000004,160.0,0.301
Isaac Paredes,20036,1999-02-18,85,0.306,108.0,0.278,,,,,,,,
Khris Davis,9112,1987-12-21,114,0.272,99.0,0.303,533.0,0.293,654.0,0.326,652.0,0.336,610.0,0.307
Ronald Torreyes,11400,1992-09-02,344,0.28600000000000003,7.0,0.14300000000000002,17.0,0.235,102.0,0.294,336.0,0.314,168.0,0.305
Victor Robles,18363,1997-05-19,369,0.31,189.0,0.293,617.0,0.326,66.0,0.348,27.0,0.308,,
Jorge Alfaro,12180,1993-06-11,311,0.28300000000000003,100.0,0.28,465.0,0.312,377.0,0.324,114.0,0.36,17.0,0.17600000000000002
Ryan Lavarnway,8879,1987-08-07,30,0.276,11.0,0.364,19.0,0.316,6.0,0.667,13.0,0.385,,
Victor Caratini,14968,1993-08-17,356,0.309,132.0,0.33299999999999996,279.0,0.348,200.0,0.293,66.0,0.33299999999999996,,
David Fletcher,17992,1994-05-31,665,0.297,230.0,0.376,653.0,0.35,307.0,0.316,,,,
John Nogowski,16852,1993-01-05,143,0.301,4.0,0.25,,,,,,,,
Willians Astudillo,15608,1991-10-14,216,0.259,16.0,0.25,204.0,0.299,97.0,0.371,,,,
DJ Peters,19348,1995-12-12,240,0.242,,,,,,,,,,
Kyle Higashioka,5517,1990-04-20,211,0.24600000000000002,48.0,0.25,57.0,0.21100000000000002,79.0,0.24100000000000002,20.0,0.1,,
Dylan Moore,18042,1992-08-02,377,0.276,159.0,0.358,282.0,0.302,,,,,,
Jose Barrero,23378,1998-04-05,56,0.28600000000000003,68.0,0.20600000000000002,,,,,,,,
Adrian Sanchez,11338,1990-08-16,38,0.316,,,32.0,0.25,59.0,0.28800000000000003,75.0,0.28800000000000003,,
Adam Eaton,11205,1988-12-06,288,0.282,176.0,0.285,656.0,0.365,370.0,0.39399999999999996,107.0,0.39299999999999996,706.0,0.36200000000000004
Willi Castro,17338,1997-04-24,450,0.273,140.0,0.381,110.0,0.284,,,,,,
Alex Blandino,16271,1992-11-06,82,0.317,,,50.0,0.42,147.0,0.324,,,,
Kelvin Gutierrez,17468,1994-08-28,295,0.292,12.0,0.33299999999999996,79.0,0.304,,,,,,
Jarred Kelenic,22558,1999-07-16,377,0.265,,,,,,,,,,
Mason Williams,11859,1991-08-21,37,0.297,18.0,0.111,34.0,0.324,132.0,0.331,17.0,0.294,29.0,0.321
Ha-seong Kim,27506,1995-10-17,298,0.27,,,,,,,,,,
Stephen Vogt,5000,1984-11-01,238,0.28300000000000003,81.0,0.247,280.0,0.314,,,303.0,0.285,532.0,0.305
Elvis Andrus,8709,1988-08-26,541,0.294,111.0,0.252,648.0,0.313,428.0,0.308,689.0,0.337,568.0,0.36200000000000004
Taylor Trammell,19960,1997-09-13,178,0.256,,,,,,,,,,
Nick Ahmed,12147,1990-03-15,473,0.28,217.0,0.327,625.0,0.316,564.0,0.29,178.0,0.298,308.0,0.265
Matt Carpenter,8090,1985-11-26,249,0.305,169.0,0.325,492.0,0.33399999999999996,677.0,0.374,622.0,0.384,566.0,0.38
Shed Long Jr.,16542,1995-08-22,121,0.258,128.0,0.242,168.0,0.33299999999999996,,,,,,
Mike Brosseau,19683,1994-03-15,169,0.266,98.0,0.37799999999999995,142.0,0.319,,,,,,
Danny Mendick,18889,1993-09-28,186,0.303,114.0,0.281,40.0,0.325,,,,,,
David Bote,14593,1993-04-07,327,0.276,145.0,0.303,356.0,0.36200000000000004,210.0,0.319,,,,
Romy Gonzalez,21562,1996-09-06,33,0.273,,,,,,,,,,
Donovan Walton,19314,1994-05-25,69,0.254,14.0,0.214,19.0,0.316,,,,,,
Seby Zavala,18887,1993-08-28,104,0.24,,,12.0,0.083,,,,,,
Brian O'Grady,16729,1992-05-17,61,0.267,5.0,0.4,48.0,0.292,,,,,,
Yonny Hernandez,19432,1998-05-04,166,0.315,,,,,,,,,,
Daniel Robertson,14145,1994-03-22,90,0.303,24.0,0.41700000000000004,237.0,0.312,340.0,0.382,254.0,0.308,,
Nomar Mazara,14553,1995-04-26,181,0.276,149.0,0.295,469.0,0.318,536.0,0.317,616.0,0.32299999999999995,568.0,0.32
Jacob Nottingham,16448,1995-04-03,45,0.222,54.0,0.278,7.0,0.429,24.0,0.33299999999999996,,,,
Maikel Franco,12179,1992-08-26,403,0.253,243.0,0.321,428.0,0.297,465.0,0.314,623.0,0.281,630.0,0.306
Billy Hamilton,10199,1990-09-09,135,0.242,36.0,0.171,353.0,0.289,556.0,0.299,633.0,0.299,460.0,0.321
Ender Inciarte,4922,1990-10-29,89,0.276,131.0,0.262,230.0,0.34299999999999997,660.0,0.325,718.0,0.35,578.0,0.35100000000000003
Jose Trevino,16725,1992-11-28,302,0.267,83.0,0.28,126.0,0.272,8.0,0.25,,,,
Danny Santana,10322,1990-11-07,127,0.252,63.0,0.23800000000000002,511.0,0.324,32.0,0.281,178.0,0.243,248.0,0.27899999999999997
Jason Vosler,16686,1993-09-06,82,0.256,,,,,,,,,,
