"S.No","Company","Ticker","Date","Call","1-Day Change Recommendation","1-Week Change Recommendation","1-Month Change Recommendation","1-Year Change Recommendation","1-Day Change Benchmark","1-Week Change Benchmark","1-Month Change Benchmark","1-Year Change Benchmark"
3654,"Occidental Petroleum ","OXY","28/2/2017","Sell","0.0%","-5.2%","-3.2%","4%","0.6%","-1.3%","-1%","14%"
3655,"Alkermes ","ALKS","21/10/2016","Buy","0.9%","-11.1%","4.4%","-13%","-0.1%","-1.1%","2%","22%"
3656,"Dropbox ","DBX","1/8/2018","Buy","6.1%","15.5%","-9.6%","-23%","1.1%","0.9%","3%","6%"
3657,"Waste Management ","WM","27/5/2020","Buy","1.1%","1.9%","-2.3%","35%","-0.6%","2.8%","1%","41%"
3658,"Medtronic ","MDT","7/1/2019","Buy","-0.3%","3.6%","7.1%","43%","0.0%","1.4%","5%","29%"
3659,"Tandem Diabetes Care ","TNDM","10/4/2019","Buy","-1.1%","-15.6%","-3.6%","3%","-0.2%","0.6%","-3%","-2%"
3660,"Ford Motor ","F","20/7/2021","Buy","1.0%","-2.3%","-11.4%","-7%","0.5%","1.0%","2%","-7%"
3661,"FibroGen ","FGEN","20/10/2017","Negative Mention","-1.8%","3.5%","-12.3%","-7%","-0.5%","0.2%","1%","9%"
3662,"Bath & Body Works ","BBWI","23/8/2021","Buy","0.1%","-1.3%","-1.4%","-45%","0.0%","0.8%","-1%","-6%"
3663,"Symantec ","SYMC","12/9/2016","Buy","-1.6%","0.1%","-1.7%","35%","-0.7%","0.6%","0%","20%"
3664,"Roku ","ROKU","9/10/2020","Buy","-2.0%","0.2%","0.1%","44%","0.8%","-3.0%","1%","25%"
3665,"HCA Healthcare ","HCA","6/11/2018","Positive Mention","3.7%","-1.3%","-3.9%","-3%","1.2%","-3.8%","-6%","12%"
3666,"Incyte ","INCY","12/4/2017","Buy","0.8%","-12.6%","-16.7%","-50%","-0.5%","1.2%","3%","16%"
3667,"Okta ","OKTA","3/2/2020","Buy","3.1%","1.9%","-4.2%","105%","0.3%","1.9%","-8%","18%"
3668,"Twitter ","TWTR","29/10/2019","Buy","-1.0%","-1.1%","3.5%","76%","0.2%","1.0%","3%","11%"
3669,"Dicks Sporting Goods ","DKS","26/11/2019","Positive Mention","-2.9%","-0.3%","5.7%","34%","0.3%","-1.3%","3%","18%"
3670,"AbbVie ","ABBV","8/2/2018","Buy","1.6%","6.6%","6.3%","-25%","0.3%","4.4%","7%","5%"
3671,"Paychex ","PAYX","13/10/2021","Buy","0.1%","3.1%","5.4%","-6%","0.8%","2.5%","6%","-18%"
3672,"Bluebird Bio ","BLUE","24/9/2018","Buy","0.7%","1.2%","-18.3%","-26%","-0.3%","0.3%","-7%","4%"
3673,"Dexcom ","DXCM","19/3/2020","Buy","0.6%","25.5%","54.3%","72%","-5.7%","10.8%","23%","74%"
3674,"Wells Fargo ","WFC","20/7/2021","Buy","1.1%","-0.6%","4.0%","-4%","0.5%","1.0%","2%","-7%"
3675,"Nike ","NKE","12/11/2020","Buy","0.3%","3.7%","6.4%","33%","0.8%","-0.8%","2%","32%"
3676,"UnitedHealth Group ","UNH","15/4/2021","Buy","-0.7%","2.4%","4.5%","38%","0.0%","-0.1%","0%","6%"
3677,"Netflix ","NFLX","13/1/2017","Negative Mention","-1.6%","3.4%","7.8%","67%","0.0%","0.0%","3%","25%"
3678,"Idexx Laboratories ","IDXX","11/11/2020","Buy","-2.3%","1.8%","2.0%","40%","-0.7%","1.3%","3%","34%"
3679,"Newmark Group ","NMRK","11/1/2018","Positive Mention","-1.6%","2.4%","-7.4%","-39%","0.5%","0.9%","-5%","-6%"
3680,"Lululemon Athletica ","LULU","23/4/2020","Buy","0.4%","1.9%","31.2%","57%","0.8%","-0.1%","6%","50%"
3681,"Cloudera ","CLDR","8/1/2020","Positive Mention","-1.4%","-2.5%","-11.9%","21%","0.2%","1.3%","2%","19%"
3682,"United Technologies ","UTX","18/10/2019","Buy","0.1%","3.4%","8.3%","-8%","0.2%","1.1%","4%","16%"
3683,"Schlumberger ","SLB","23/10/2017","Buy","-0.1%","2.5%","-0.8%","-13%","0.0%","0.2%","1%","5%"
3684,"Carnival ","CCL","28/2/2017","Buy","0.0%","-1.7%","4.3%","20%","0.6%","-1.3%","-1%","14%"
3685,"Incyte ","INCY","11/7/2017","Buy","0.0%","-2.1%","-6.8%","-47%","0.3%","1.2%","0%","17%"
3686,"Union Pacific ","UNP","26/1/2022","Buy","-1.1%","-0.1%","1.0%",,"-1.6%","3.6%","1%","0%"
3687,"Campbell Soup ","CPB","29/5/2020","Positive Mention","0.4%","-3.5%","-4.8%","-3%","0.6%","5.8%","0%","40%"
3688,"Walgreens Boots Alliance ","WBA","5/2/2020","Sell","0.0%","0.1%","-8.6%","-3%","0.0%","0.9%","-18%","18%"
3689,"United Rentals ","URI","13/4/2018","Buy","-0.3%","-6.0%","-4.9%","-28%","0.1%","-0.3%","2%","11%"
3690,"Verizon ","VZ","16/3/2020","Buy","5.5%","-8.0%","7.3%","7%","3.2%","-3.2%","11%","60%"
3691,"Olin ","OLN","30/11/2016","Buy","-0.2%","1.2%","-0.9%","37%","-0.5%","2.5%","3%","23%"
3692,"Materion ","MTRN","24/4/2017","Positive Mention","0.0%","-1.8%","-2.4%","49%","0.3%","0.1%","1%","13%"
3693,"Tellurian ","TELL","31/10/2018","Positive Mention","2.7%","-5.2%","-6.9%","-3%","0.7%","2.6%","2%","14%"
3694,"Dollar General ","DG","26/5/2016","Buy","1.1%","2.1%","4.3%","-18%","0.3%","0.0%","-5%","17%"
3695,"VMware ","VMW","28/9/2018","Buy","-0.9%","-3.3%","-12.7%","15%","-0.1%","-1.3%","-10%","4%"
3696,"Marathon Petroleum ","MPC","30/11/2016","Buy","0.5%","4.9%","10.9%","35%","-0.5%","2.5%","3%","23%"
3697,"Thermo Fisher Scientific ","TMO","25/9/2020","Buy","0.4%","5.2%","12.6%","39%","0.3%","1.7%","2%","34%"
3698,"Wells Fargo ","WFC","20/4/2016","Buy","-1.0%","0.7%","-1.9%","9%","-0.5%","-0.7%","-2%","15%"
3699,"Applied Materials ","AMAT","28/3/2018","Buy","1.8%","-2.4%","-10.7%","-27%","0.8%","0.9%","1%","9%"
3700,"NortonLifeLock ","NLOK","12/5/2021","Buy","0.4%","5.2%","12.6%","-4%","0.8%","1.2%","4%","-1%"
3701,"United Rentals ","URI","19/4/2018","Buy","-3.9%","-4.8%","6.5%","-17%","-0.8%","0.0%","3%","11%"
3702,"Microsoft ","MSFT","9/9/2020","Buy","-3.8%","-1.2%","7.8%","45%","-2.3%","0.6%","6%","35%"
3703,"Cisco Systems ","CSCO","5/2/2021","Buy","0.8%","-5.0%","-2.9%","16%","0.3%","0.5%","-2%","16%"
3704,"Roku ","ROKU","30/4/2021","Positive Mention","-3.2%","-10.1%","3.7%","-69%","-0.3%","-0.1%","0%","0%"
3705,"Gogo ","GOGO","11/11/2021","Buy","3.2%","-12.0%","-17.9%","-5%","0.5%","0.3%","0%","-14%"
3706,"Boston Beer ","SAM","17/7/2020","Buy","0.1%","25.1%","28.3%","46%","0.9%","-0.3%","4%","33%"
3707,"Delta Air Lines ","DAL","21/3/2022","Buy","1.5%","6.9%","21.0%",,"0.8%","2.7%","-3%","0%"
3708,"Advanced Micro Devices ","AMD","5/11/2021","Buy","9.0%","-2.4%","-7.4%","-58%","-0.2%","-0.3%","-2%","-18%"
3709,"Five Below ","FIVE","13/4/2017","Buy","0.9%","3.6%","12.4%","66%","0.6%","0.0%","2%","16%"
3710,"Caterpillar ","CAT","28/1/2019","Positive Mention","0.7%","4.3%","8.5%","10%","-0.2%","3.7%","6%","26%"
3711,"Coca-Cola ","KO","9/2/2018","Buy","0.9%","0.0%","1.3%","17%","0.6%","2.3%","5%","4%"
3712,"Morgan Stanley ","MS","22/11/2021","Buy","1.5%","-6.9%","-2.5%","-9%","0.2%","-2.7%","1%","-13%"
3713,"SiteOne Landscape Supply ","SITE","16/4/2018","Negative Mention","0.4%","-9.1%","1.7%","-19%","0.3%","-2.7%","1%","9%"
3714,"Morgan Stanley ","MS","20/7/2021","Buy","2.6%","0.4%","6.0%","-11%","0.5%","1.0%","2%","-7%"
3715,"Edwards Lifesciences ","EW","12/6/2018","Buy","1.3%","1.3%","-2.5%","21%","-0.4%","-0.3%","1%","6%"
3716,"Boeing ","BA","4/1/2021","Buy","3.4%","-1.5%","-0.5%","1%","0.9%","2.0%","4%","28%"
3717,"CrowdStrike ","CRWD","2/11/2020","Buy","0.9%","-2.6%","27.1%","113%","0.7%","5.4%","9%","40%"
3718,"Barrick Gold ","GOLD","30/1/2019","Buy","1.6%","-0.4%","-6.6%","39%","0.9%","0.1%","4%","21%"
3719,"Nabors Industries ","NBR","15/5/2017","Sell","-0.3%","-0.3%","-18.8%","-14%","-0.2%","0.0%","2%","16%"
3720,"Canada Goose ","GOOS","12/12/2019","Negative Mention","-4.2%","-2.8%","-13.4%","-22%","0.1%","1.6%","4%","17%"
3721,"Boeing ","BA","12/2/2021","Buy","1.9%","-2.0%","22.3%","-3%","-0.4%","-1.3%","1%","13%"
3722,"Yext ","YEXT","12/5/2020","Buy","-6.4%","10.5%","16.5%","-8%","-1.6%","5.4%","8%","48%"
3723,"Nutrien ","NTR","22/3/2022","Sell","-0.1%","-2.8%","-1.1%",,"-0.7%","3.4%","-4%","0%"
3724,"Dropbox ","DBX","13/8/2018","Buy","-1.6%","-2.4%","-11.2%","-39%","0.3%","0.9%","2%","2%"
3725,"Microsoft ","MSFT","19/8/2021","Buy","1.5%","-1.5%","-3.3%","-8%","0.7%","1.6%","-2%","-5%"
3726,"Zendesk ","ZEN","16/9/2019","Buy","2.0%","-4.0%","-11.3%","26%","0.3%","-1.2%","0%","15%"
3727,"Skyworks Solutions ","SWKS","2/6/2020","Buy","1.8%","3.6%","3.3%","33%","0.6%","2.2%","2%","36%"
3728,"American Airlines ","AAL","6/2/2017","Buy","-1.3%","3.3%","-3.9%","15%","-0.2%","2.1%","3%","19%"
3729,"Five9 ","FIVN","22/11/2019","Buy","3.5%","-2.4%","-3.5%","116%","0.4%","-0.6%","3%","16%"
3730,"Magellan Midstream Partne ","MMP","21/12/2016","Buy","0.1%","-0.6%","-1.0%","-3%","-0.1%","-0.5%","0%","21%"
3731,"AGCO ","AGCO","12/10/2020","Buy","-0.9%","0.5%","11.2%","60%","-0.6%","-1.9%","1%","26%"
3732,"Desktop Metal ","DM","16/12/2020","Negative Mention","-2.8%","14.1%","43.9%","-68%","0.1%","-0.4%","2%","26%"
3733,"Adobe Systems ","ADBE","22/9/2021","Buy","-0.2%","-8.7%","2.6%","-55%","0.8%","-3.2%","3%","-16%"
3734,"Dollar Tree ","DLTR","10/9/2019","Buy","0.3%","0.8%","3.4%","-19%","0.6%","0.3%","-1%","13%"
3735,"NVIDIA ","NVDA","2/10/2018","Negative Mention","-0.9%","-14.3%","-25.0%","-37%","-0.3%","-4.6%","-7%","2%"
3736,"Tellurian ","TELL","9/3/2018","Buy","4.4%","-15.5%","-6.6%","11%","-0.2%","-2.5%","-6%","2%"
3737,"Proofpoint ","PFPT","25/4/2018","Buy","2.0%","-3.0%","-3.0%","1%","0.6%","-1.4%","1%","12%"
3738,"Tandem Diabetes Care ","TNDM","5/5/2020","Positive Mention","1.6%","-3.8%","-8.8%","-1%","-1.3%","-0.9%","12%","50%"
3739,"OneMain 0ings ","OMF","27/10/2021","Negative Mention","-0.6%","1.4%","-2.8%","-22%","0.6%","1.9%","1%","-14%"
3740,"Diageo ","DEO","1/2/2019","Buy","-0.1%","0.9%","2.9%","7%","0.7%","-0.5%","3%","21%"
3741,"Rayonier Advanced Materia ","RYAM","7/10/2016","Buy","1.0%","-2.8%","-8.5%","6%","0.0%","-1.7%","-1%","20%"
3742,"Norfolk Southern ","NSC","21/10/2016","Negative Mention","-0.9%","0.1%","13.3%","45%","-0.1%","-1.1%","2%","22%"
3743,"UnitedHealth Group ","UNH","4/11/2020","Buy","-1.0%","0.0%","-1.5%","30%","0.3%","0.8%","5%","36%"
3744,"Skyworks Solutions ","SWKS","16/12/2020","Buy","-2.3%","3.9%","10.9%","6%","0.1%","-0.4%","2%","26%"
3745,"Snap ","SNAP","9/4/2018","Sell","1.3%","2.8%","-24.0%","-17%","0.3%","1.9%","3%","11%"
3746,"Tesla ","TSLA","7/1/2020","Buy","3.9%","5.4%","52.0%","729%","0.5%","1.2%","2%","19%"
3747,"Enphase Energy ","ENPH","1/3/2019","Positive Mention","-4.5%","0.7%","5.5%","485%","-0.8%","-0.3%","3%","13%"
3748,"Camping World ","CWH","1/2/2022","Buy","-2.0%","1.9%","-9.8%",,"0.4%","0.0%","-6%","0%"
3749,"Texas Instruments ","TXN","18/10/2019","Negative Mention","0.1%","-8.3%","-9.3%","19%","0.2%","1.1%","4%","16%"
3750,"NovoCure ","NVCR","26/8/2019","Positive Mention","-3.6%","-4.8%","-17.9%","-13%","-0.9%","1.3%","4%","24%"
3751,"Cisco Systems ","CSCO","20/12/2018","Buy","-2.5%","2.2%","7.9%","18%","-2.4%","2.9%","9%","36%"
3752,"Apple ","AAPL","8/4/2020","Buy","-0.3%","7.0%","17.9%","100%","0.2%","0.3%","5%","50%"
3753,"Tesla ","TSLA","8/10/2020","Buy","0.9%","1.3%","-2.9%","82%","0.4%","0.1%","2%","27%"
3754,"Madrigal Pharmaceuticals ","MDGL","11/12/2017","Positive Mention","-2.5%","17.2%","22.4%","40%","-0.2%","0.7%","4%","1%"
3755,"Dominion Energy ","D","14/7/2020","Buy","1.1%","5.4%","4.5%","5%","-0.2%","1.6%","5%","37%"
3756,"Etsy ","ETSY","9/5/2019","Buy","0.7%","1.6%","5.7%","30%","0.9%","-0.8%","0%","4%"
3757,"Tesla ","TSLA","22/1/2021","Buy","3.0%","-4.7%","-18.9%","6%","0.2%","-2.1%","1%","16%"
3758,"NVIDIA ","NVDA","30/10/2020","Buy","-0.6%","8.3%","6.5%","106%","0.0%","7.4%","10%","41%"
3759,"Roku ","ROKU","8/10/2020","Buy","-0.9%","-0.7%","-0.9%","43%","0.4%","0.1%","2%","27%"
3760,"Estee Lauder ","EL","2/11/2020","Positive Mention","-0.6%","10.0%","9.4%","53%","0.7%","5.4%","9%","40%"
3761,"Abiomed ","ABMD","18/10/2019","Sell","-0.6%","4.5%","1.2%","60%","0.2%","1.1%","4%","16%"
3762,"Poshmark ","POSH","11/8/2021","Negative Mention","7.0%","-12.8%","-13.2%","-60%","0.3%","-1.2%","0%","-3%"
3763,"Nio ","NIO","4/6/2019","Sell","-7.8%","-9.9%","15.2%","111%","0.2%","1.9%","6%","12%"
3764,"Applied Materials ","AMAT","11/10/2021","Buy","-1.6%","6.2%","21.4%","-40%","-0.5%","3.9%","7%","-17%"
3765,"Five Below ","FIVE","5/12/2019","Buy","-0.6%","-0.3%","-0.3%","32%","0.2%","0.8%","3%","20%"
3766,"Adobe Systems ","ADBE","1/11/2019","Buy","-1.1%","4.6%","9.1%","60%","-0.2%","0.3%","1%","10%"
3767,"Salesforce ","CRM","11/7/2017","Positive Mention","1.3%","-0.9%","-2.3%","64%","0.3%","1.2%","0%","17%"
3768,"Lowe's ","LOW","20/11/2019","Positive Mention","-1.7%","0.2%","2.2%","30%","-0.2%","1.3%","4%","17%"
3769,"3D Systems ","DDD","20/11/2018","Negative Mention","-2.1%","3.8%","-21.5%","-28%","-0.3%","3.6%","-9%","19%"
3770,"Visa ","V","2/5/2022","Buy","-2.4%","-7.2%","3.3%",,"0.3%","-4.2%","0%","0%"
3771,"Snap ","SNAP","20/5/2019","Negative Mention","2.1%","0.3%","28.6%","58%","0.2%","-2.2%","3%","6%"
3772,"Honeywell ","HON","11/7/2018","Negative Mention","1.3%","-0.2%","3.0%","28%","0.4%","0.2%","1%","10%"
3773,"Xerox ","XRX","6/11/2019","Buy","-1.9%","3.6%","0.0%","-46%","-0.1%","0.4%","2%","16%"
3774,"PBF Energy ","PBF","4/12/2017","Negative Mention","-0.1%","-0.7%","10.2%","11%","0.0%","1.4%","4%","4%"
3775,"Papa Johns Pizza ","PZZA","9/5/2022","Buy","2.0%","-5.4%","2.0%",,"-1.3%","2.3%","1%","0%"
3776,"Gogo ","GOGO","27/7/2021","Sell","-0.7%","1.8%","30.9%","69%","-0.2%","0.0%","3%","-6%"
3777,"Caterpillar ","CAT","8/4/2020","Buy","-2.8%","-9.4%","-12.4%","90%","0.2%","0.3%","5%","50%"
3778,"American Airlines ","AAL","12/7/2016","Positive Mention","-1.6%","4.3%","1.7%","58%","-0.2%","1.0%","2%","16%"
3779,"ServiceNow ","NOW","26/4/2018","Buy","-2.2%","4.9%","8.0%","66%","-0.2%","-0.2%","1%","12%"
3780,"Johnson & Johnson ","JNJ","25/3/2020","Buy","5.0%","5.2%","21.9%","34%","4.7%","-3.6%","10%","54%"
3781,"Splunk ","SPLK","28/3/2018","Buy","1.6%","1.1%","4.3%","27%","0.8%","0.9%","1%","9%"
3782,"Lam Research ","LRCX","11/10/2021","Buy","-2.0%","4.4%","12.2%","-40%","-0.5%","3.9%","7%","-17%"
3783,"Align Technology ","ALGN","24/2/2021","Buy","-3.9%","-6.4%","-7.2%","-8%","-2.1%","-1.5%","4%","16%"
3784,"Ralph Lauren ","RL","4/2/2020","Buy","-1.9%","1.0%","-13.7%","-11%","0.2%","1.4%","-11%","18%"
3785,"Steel Dynamics ","STLD","11/4/2018","Buy","1.6%","4.6%","7.7%","-23%","0.3%","1.1%","3%","11%"
3786,"Accolade ","ACCD","18/10/2021","Sell","4.8%","-4.2%","-22.5%","-75%","0.4%","1.2%","4%","-17%"
3787,"CVS Health ","CVS","15/2/2019","Buy","-0.5%","-12.4%","-18.9%","6%","0.5%","0.6%","2%","23%"
3788,"Cree ","CREE","8/12/2017","Buy","-1.7%","14.8%","11.7%","28%","0.0%","1.2%","3%","1%"
3789,"Centene ","CNC","7/6/2019","Buy","0.4%","0.1%","-6.7%","22%","-0.1%","0.1%","3%","14%"
3790,"Etsy ","ETSY","25/6/2020","Buy","0.3%","10.2%","3.3%","93%","-2.0%","5.7%","8%","45%"
3791,"Advanced Micro Devices ","AMD","28/4/2017","Negative Mention","1.4%","-26.3%","-18.4%","-20%","0.0%","0.4%","1%","13%"
3792,"AGCO ","AGCO","5/1/2022","Buy","-1.7%","5.1%","-4.3%",,"0.0%","-0.7%","-4%","0%"
3793,"Freeport-McMoRan ","FCX","14/4/2022","Positive Mention","2.2%","-17.5%","-30.8%",,"0.3%","-2.7%","-9%","0%"
3794,"TherapeuticsMD ","TXMD","7/9/2018","Positive Mention","0.6%","-1.8%","-5.9%","-51%","-0.2%","0.4%","0%","6%"
3795,"Block ","SQ","27/4/2020","Buy","-3.8%","8.0%","28.9%","312%","-1.8%","0.2%","6%","48%"
3796,"Qorvo ","QRVO","2/6/2020","Buy","2.0%","1.7%","0.6%","60%","0.6%","2.2%","2%","36%"
3797,"Corteva Agriscienses ","CTVA","26/5/2020","Buy","-0.3%","10.5%","0.5%","78%","0.5%","2.8%","-1%","40%"
3798,"Bank of America ","BAC","7/12/2016","Buy","0.7%","0.9%","-1.7%","29%","0.3%","0.7%","1%","20%"
3799,"Apple ","AAPL","5/5/2020","Buy","0.1%","2.6%","10.6%","74%","-1.3%","-0.9%","12%","50%"
3800,"Freeport-McMoRan ","FCX","6/5/2021","Buy","3.5%","-3.8%","-6.2%","-19%","0.5%","-1.3%","0%","-4%"
3801,"JB Hunt Transport Service ","JBHT","13/10/2021","Negative Mention","1.3%","10.7%","13.9%","-6%","0.8%","2.5%","6%","-18%"
3802,"YY ","YY","14/3/2019","Sell","3.7%","-3.7%","2.7%","-48%","0.3%","-0.7%","3%","-14%"
3803,"Enterprise Products Partn ","EPD","22/6/2016","Positive Mention","1.4%","-0.5%","-1.1%","-5%","0.5%","-0.6%","3%","18%"
3804,"Exact Sciences ","EXAS","7/3/2017","Negative Mention","0.8%","-4.6%","3.9%","132%","-0.3%","1.0%","0%","18%"
3805,"Best +2 ","BBY","27/2/2019","Positive Mention","-0.9%","-1.7%","5.5%","13%","-0.1%","-1.3%","3%","8%"
3806,"Advanced Micro Devices ","AMD","25/10/2017","Negative Mention","-3.6%","-9.6%","-3.8%","47%","-0.1%","0.8%","2%","6%"
3807,"Barrick Gold ","GOLD","12/11/2019","Buy","0.4%","2.0%","5.8%","58%","0.4%","0.5%","3%","17%"
3808,"Skyworks Solutions ","SWKS","12/7/2016","Negative Mention","-1.6%","6.3%","3.8%","59%","-0.2%","1.0%","2%","16%"
3809,"Gilead Sciences ","GILD","8/10/2019","Negative Mention","-0.5%","5.4%","5.5%","6%","0.2%","2.4%","6%","20%"
3810,"Hannon Armstrong ","HASI","28/2/2020","Buy","7.0%","-12.6%","-43.8%","70%","3.6%","-11.3%","-15%","28%"
3811,"Okta ","OKTA","4/4/2019","Buy","0.7%","9.7%","24.1%","48%","0.2%","0.6%","1%","-6%"
3812,"Adobe Systems ","ADBE","4/1/2018","Positive Mention","0.2%","5.2%","2.7%","24%","0.3%","1.6%","-3%","-5%"
3813,"Caterpillar ","CAT","1/4/2021","Buy","-0.5%","-1.3%","-1.9%","-4%","0.7%","1.3%","3%","14%"
3814,"Visa ","V","14/2/2019","Buy","0.2%","0.7%","6.9%","47%","0.4%","0.6%","2%","24%"
3815,"Etsy ","ETSY","7/4/2021","Buy","4.6%","1.8%","-22.4%","-46%","0.1%","1.8%","2%","11%"
3816,"Tesla ","TSLA","28/10/2020","Buy","0.2%","6.6%","38.2%","171%","0.9%","6.1%","10%","41%"
3817,"Etsy ","ETSY","19/3/2018","Buy","0.7%","-2.3%","6.8%","143%","0.0%","-3.8%","-1%","6%"
3818,"Workday ","WDAY","28/2/2019","Buy","-5.4%","-4.0%","1.9%","-9%","0.0%","-2.1%","2%","12%"
3819,"Ulta Beauty ","ULTA","28/6/2016","Buy","0.9%","3.0%","8.5%","19%","0.9%","1.5%","5%","19%"
3820,"Sallie Mae ","SLM","23/5/2016","Negative Mention","1.9%","7.8%","0.0%","68%","0.8%","0.9%","2%","18%"
3821,"Inovio Pharmaceuticals ","INO","24/1/2017","Sell","1.6%","2.7%","5.2%","-19%","0.4%","-0.8%","3%","26%"
3822,"Winnebago Industries ","WGO","17/12/2018","Sell","-4.3%","15.9%","50.0%","147%","-0.8%","-2.9%","4%","28%"
3823,"Lam Research ","LRCX","17/11/2020","Buy","-1.3%","3.8%","12.1%","49%","-1.3%","1.8%","4%","34%"
3824,"Mohawk Group ","MWK","23/4/2021","Sell","6.7%","-19.3%","-35.9%","-80%","0.0%","0.1%","0%","4%"
3825,"Diamond Eagle Acquisition ","DEAC","20/4/2020","Sell","-3.0%","6.0%","66.0%","242%","-1.3%","4.6%","8%","55%"
3826,"Illumina ","ILMN","22/7/2020","Buy","-2.3%","-0.9%","-9.7%","28%","-1.1%","0.3%","6%","38%"
3827,"Nike ","NKE","4/8/2016","Buy","1.0%","1.1%","3.1%","8%","0.8%","0.1%","0%","16%"
3828,"Netflix ","NFLX","19/7/2016","Sell","1.4%","4.7%","9.1%","109%","0.4%","-0.3%","1%","16%"
3829,"Netflix ","NFLX","21/4/2021","Buy","-1.0%","0.0%","-1.2%","-58%","-0.9%","1.9%","2%","5%"
3830,"K12 ","LRN","18/3/2020","Sell","4.2%","-3.8%","36.2%","62%","0.5%","9.3%","18%","66%"
3831,"Universal Display ","OLED","9/5/2017","Buy","0.1%","-3.6%","8.5%","-14%","0.2%","-1.7%","1%","16%"
3832,"PayPal ","PYPL","5/11/2021","Negative Mention","0.6%","-7.4%","-19.4%","-66%","-0.2%","-0.3%","-2%","-18%"
3833,"Cerence ","CRNC","19/5/2021","Sell","1.7%","12.0%","30.6%","-64%","0.8%","1.0%","2%","-5%"
3834,"Walt Disney ","DIS","4/2/2022","Positive Mention","-0.6%","5.9%","-6.3%",,"-0.5%","-1.8%","-6%","0%"
3835,"Deluxe ","DLX","24/1/2017","Buy","0.2%","-3.6%","1.8%","0%","0.4%","-0.8%","3%","26%"
3836,"Domino's Pizza ","DPZ","28/2/2017","Buy","-2.2%","0.5%","-1.4%","20%","0.6%","-1.3%","-1%","14%"
3837,"Accenture ","ACN","18/6/2021","Buy","0.6%","2.9%","8.6%","0%","1.0%","1.6%","1%","-10%"
3838,"Applied Materials ","AMAT","3/1/2018","Buy","-0.4%","-2.0%","-11.0%","-37%","0.2%","1.7%","-3%","-5%"
3839,"Cara Therapeutics ","CARA","24/4/2017","Buy","-2.3%","-9.0%","2.0%","-24%","0.3%","0.1%","1%","13%"
3840,"New Relic ","NEWR","22/6/2016","Buy","2.6%","-5.8%","9.2%","40%","0.5%","-0.6%","3%","18%"
3841,"Goldman Sachs ","GS","10/1/2020","Positive Mention","0.3%","0.2%","-3.2%","23%","0.5%","1.0%","2%","18%"
3842,"Morgan Stanley ","MS","18/10/2019","Positive Mention","2.0%","4.1%","9.8%","17%","0.2%","1.1%","4%","16%"
3843,"Lemonade ","LMND","26/2/2021","Buy","4.3%","-34.5%","-36.9%","-81%","1.0%","-2.0%","2%","14%"
3844,"Morgan Stanley ","MS","12/1/2018","Buy","-1.9%","5.1%","-1.7%","-20%","-0.9%","2.1%","-4%","-5%"
3845,"Spotify ","SPOT","30/10/2019","Buy","1.8%","2.7%","-1.2%","66%","-0.3%","1.6%","3%","10%"
3846,"Bank of America ","BAC","16/6/2021","Buy","-5.3%","2.6%","-7.2%","-18%","0.1%","1.1%","1%","-12%"
3847,"Sanofi ","SNY","5/2/2021","Buy","-0.1%","-2.4%","-4.2%","13%","0.3%","0.5%","-2%","16%"
3848,"Pfizer ","PFE","14/12/2017","Buy","1.1%","-2.8%","-1.6%","20%","0.4%","0.4%","4%","-3%"
3849,"HP ","HPQ","29/1/2019","Buy","0.5%","3.9%","-11.7%","0%","0.9%","1.9%","5%","25%"
3850,"RADA Electronic Industrie ","RADA","14/5/2021","Negative Mention","0.5%","1.3%","5.3%","-7%","0.0%","0.9%","2%","-2%"
3851,"The Trade Desk ","TTD","10/6/2021","Buy","0.7%","1.5%","29.8%","-24%","0.0%","-1.9%","3%","-10%"
3852,"Doximity ","DOCS","16/11/2021","Buy","1.6%","-14.6%","-28.0%","-55%","-0.2%","0.3%","-1%","-15%"
3853,"Digital Realty Trust ","DLR","16/5/2022","Buy","-0.8%","6.2%","-1.6%",,"0.4%","-3.5%","-10%","0%"
3854,"eBay ","EBAY","2/5/2019","Buy","0.9%","-2.4%","-6.6%","6%","0.4%","-2.0%","-7%","-2%"
3855,"Lithia Motors ","LAD","21/10/2020","Buy","-4.7%","-7.2%","17.3%","36%","0.5%","-4.2%","4%","33%"
3856,"Ulta Beauty ","ULTA","12/10/2017","Negative Mention","3.4%","3.2%","-0.3%","42%","-0.1%","0.8%","1%","10%"
3857,"Macy's ","M","22/9/2020","Buy","-3.5%","-6.7%","18.3%","282%","-2.5%","3.8%","7%","39%"
3858,"Eli Lilly ","LLY","22/12/2021","Buy","1.5%","1.5%","-12.0%","37%","0.4%","1.2%","-7%","-17%"
3859,"3M ","MMM","21/6/2018","Buy","-0.5%","0.1%","1.2%","-9%","-0.3%","-1.3%","2%","9%"
3860,"Seattle Genetics ","SGEN","18/5/2020","Buy","-2.1%","-3.5%","1.8%","-5%","-0.8%","2.4%","7%","43%"
3861,"PVH Corp ","PVH","19/5/2017","Buy","0.7%","3.4%","3.5%","51%","0.3%","0.8%","3%","16%"
3862,"Nike ","NKE","21/12/2016","Negative Mention","-1.3%","-2.1%","2.1%","23%","-0.1%","-0.5%","0%","21%"
3863,"AT&T ","T","24/10/2018","Negative Mention","-2.2%","1.7%","-0.1%","31%","1.0%","1.3%","-1%","14%"
3864,"Domino's Pizza ","DPZ","2/11/2020","Positive Mention","1.0%","-0.4%","0.0%","28%","0.7%","5.4%","9%","40%"
